time,W1L1,W1L2,W1L3,W1L4,W2L1,W2L2,W2L3,W2L4,S1L1,S1L2,S1L3,S1L4,S2L1,S2L2,S2L3,S2L4,C1L1,C1L2,C1L3,C1L4,C2L1,C2L2,C2L3,C2L4,W2L4Q,GS1,ES1,PC1,GS2,ES2,PC2,GS3,ES3,PC3,GS4,ES4,PC4,SK1L2,SK2L4,T1L2,W1QIE,W1QII,W1QAQ,W1QT,W1WC,W2QIE,W2QII,W2QAQ,W2QT,W2WC
3652.500000000,0.7662618341E-01,0.8716327181E-01,0.4514345759E-02,0.2081509060E-02,0.9769406823E-02,0.6671913136E-02,0.2795035990E-01,0.1463595310,-0.1725968765E-01,0.1077837438E-01,0.000000000,0.1572695734E-02,-0.7465412014E-02,0.4713663306E-02,0.000000000,0.9603600133E-02,0.5936649576E-01,0.9794164619E-01,0.4514345759E-02,0.3654204794E-02,0.2303994809E-02,0.1138557644E-01,0.2795035990E-01,0.1559631311,38.39458495,194.3973389,134.4065152,133.9555671,501.8973389,292.0750876,291.6263652,598.8973389,331.7563429,335.2821715,1010.897339,536.4333398,547.2837209,0.1337542117E-02,0.8289673986E-03,0.4493142919,0.000000000,96.29204181,2.721188090,99.01322990,1.856011029,0.000000000,37.26825545,1.126329498,38.39458495,1.654535790
4017.750000000,0.8298116561E-01,0.9517105464E-01,0.4652040339E-02,0.2232222778E-02,0.1009557253E-01,0.6941088362E-02,0.3080852216E-01,0.1496013331,-0.1767959924E-01,0.1100467224E-01,0.000000000,0.1686568321E-02,-0.7787822852E-02,0.4903833856E-02,0.000000000,0.9701574595E-02,0.6530156637E-01,0.1061757269,0.4652040339E-02,0.3918791099E-02,0.2307749683E-02,0.1184492222E-01,0.3080852216E-01,0.1593029077,36.57523926,194.2293388,134.8178256,134.4065152,501.7293388,292.4845389,292.0750876,598.7293388,332.1121488,335.2821715,1010.729339,536.7353169,547.2837209,0.1334979788E-02,0.8284673701E-03,0.4492512094,0.000000000,87.69645810,2.478279127,90.17473723,1.692790681,0.000000000,35.50228142,1.072957838,36.57523926,1.567699286
4383.000000000,0.8875610000E-01,0.1025504814,0.4780492425E-02,0.2375076488E-02,0.1039769454E-01,0.7194448813E-02,0.3351755781E-01,0.1526997013,-0.1806795061E-01,0.1121321293E-01,0.000000000,0.1794502236E-02,-0.8092412180E-02,0.5082831369E-02,0.000000000,0.9795214167E-02,0.7068814939E-01,0.1137636943,0.4780492425E-02,0.4169578724E-02,0.2305282358E-02,0.1227728018E-01,0.3351755781E-01,0.1624949154,34.95696372,194.0742983,135.1974076,134.8178256,501.5742983,292.8625286,292.4845389,598.5742983,332.4444293,335.2821715,1010.574298,537.0217357,547.2837209,0.1332623043E-02,0.8279897538E-03,0.4491930641,0.000000000,80.81507740,2.283813096,83.09889050,1.562079193,0.000000000,33.93147902,1.025484699,34.95696372,1.492002382
4748.250000000,0.9405905175E-01,0.1094156908,0.4901220996E-02,0.2511089884E-02,0.1067928345E-01,0.7434210158E-02,0.3609650383E-01,0.1556700050,-0.1843043965E-01,0.1140722196E-01,0.000000000,0.1897267912E-02,-0.8381653142E-02,0.5252221203E-02,0.000000000,0.9884983346E-02,0.7562861211E-01,0.1208229128,0.4901220996E-02,0.4408357796E-02,0.2297630309E-02,0.1268643136E-01,0.3609650383E-01,0.1655549883,33.51209196,193.9298619,135.5510279,135.1974076,501.4298619,293.2147575,292.8625286,598.4298619,332.7570465,335.2821715,1010.429862,537.2946124,547.2837209,0.1330434393E-02,0.8275321426E-03,0.4491389594,0.000000000,75.18367614,2.124671159,77.30834730,1.455085199,0.000000000,32.52899349,0.9830984698,33.51209196,1.425380945
5113.500000000,0.9897058579E-01,0.1158524853,0.5015402146E-02,0.2641116696E-02,0.1094310179E-01,0.7662125418E-02,0.3856088485E-01,0.1585255907,-0.1877135888E-01,0.1158912410E-01,0.000000000,0.1995510393E-02,-0.8657503588E-02,0.5413241854E-02,0.000000000,0.9971285494E-02,0.8019922691E-01,0.1274416094,0.5015402146E-02,0.4636627089E-02,0.2285598200E-02,0.1307536727E-01,0.3856088485E-01,0.1684968762,32.21780067,193.7942588,135.8830215,135.5510279,501.2942588,293.5455153,293.2147575,598.2942588,333.0529927,335.2821715,1010.294259,537.5556364,547.2837209,0.1328385693E-02,0.8270924483E-03,0.4490882214,0.000000000,70.49193152,1.992083669,72.48401519,1.365929380,0.000000000,31.27267105,0.9451296141,32.21780067,1.366321879
5478.750000000,0.1035523999,0.1219270878,0.5123967249E-02,0.2765876161E-02,0.1119138079E-01,0.7879621028E-02,0.4092364629E-01,0.1612781191,-0.1909402810E-01,0.1176079079E-01,0.000000000,0.2089773099E-02,-0.8921558963E-02,0.5566901090E-02,0.000000000,0.1005447302E-01,0.8445837177E-01,0.1336878786,0.5123967249E-02,0.4855649260E-02,0.2269821825E-02,0.1344652212E-01,0.4092364629E-01,0.1713325921,31.05506731,193.6661225,136.1967345,135.8830215,501.1661225,293.8581159,293.5455153,598.1661225,333.3346386,335.2821715,1010.166123,537.8062319,547.2837209,0.1326455249E-02,0.8266688477E-03,0.4490403299,0.000000000,66.52542035,1.879991094,68.40541145,1.290548220,0.000000000,30.14404721,0.9110200935,31.05506731,1.313675574
5844.000000000,0.1078528335,0.1276917736,0.5227668056E-02,0.2885978180E-02,0.1142596017E-01,0.8087883903E-02,0.4319577132E-01,0.1639378315,-0.1940107312E-01,0.1192369931E-01,0.000000000,0.2180516847E-02,-0.9175149776E-02,0.5714037459E-02,0.000000000,0.1013485544E-01,0.8845176040E-01,0.1396154729,0.5227668056E-02,0.5066495027E-02,0.2250810390E-02,0.1380192136E-01,0.4319577132E-01,0.1740726870,30.00788396,193.5443739,136.4948087,136.1967345,501.0443739,294.1551779,293.8581159,598.0443739,333.6038991,335.2821715,1010.044374,538.0476071,547.2837209,0.1324625955E-02,0.8262597406E-03,0.4489948740,0.000000000,63.13139869,1.784076924,64.91547562,1.226046475,0.000000000,29.12758366,0.8803003060,30.00788396,1.266541166
6209.250000000,0.1119104985,0.1331886046,0.5327121123E-02,0.3001943280E-02,0.1164838156E-01,0.8287919036E-02,0.4538670295E-01,0.1665137638,-0.1969461096E-01,0.1207903833E-01,0.000000000,0.2268134922E-02,-0.9419405767E-02,0.5855360981E-02,0.000000000,0.1021270583E-01,0.9221588757E-01,0.1452676429,0.5327121123E-02,0.5270078202E-02,0.2228975792E-02,0.1414328002E-01,0.4538670295E-01,0.1767264696,29.06264365,193.4281444,136.7793706,136.4948087,500.9281444,294.4388099,294.1551779,597.9281444,333.8623455,335.2821715,1009.928144,538.2807939,547.2837209,0.1322884064E-02,0.8258637163E-03,0.4489515232,0.000000000,60.19801183,1.701180174,61.89919200,1.170303544,0.000000000,28.21007257,0.8525710821,29.06264365,1.224193623
6574.500000000,0.1157567444,0.1384519759,0.5422838997E-02,0.3114218416E-02,0.1185995327E-01,0.8480588934E-02,0.4750464304E-01,0.1690139171,-0.1997637624E-01,0.1222777983E-01,0.000000000,0.2352965025E-02,-0.9655299588E-02,0.5991481013E-02,0.000000000,0.1028826602E-01,0.9578036816E-01,0.1506797557,0.5422838997E-02,0.5467183440E-02,0.2204653683E-02,0.1447206995E-01,0.4750464304E-01,0.1793021831,28.20767637,193.3167235,137.0521597,136.7793706,500.8167235,294.7107379,294.4388099,597.8167235,334.1112849,335.2821715,1009.816724,538.5066788,547.2837209,0.1321218348E-02,0.8254795265E-03,0.4489100072,0.000000000,57.64130151,1.628928205,59.27022971,1.121727336,0.000000000,27.38018630,0.8274900747,28.20767637,1.186036390
6939.750000000,0.1194173792,0.1435104014,0.5515252645E-02,0.3223189553E-02,0.1206179669E-01,0.8666641542E-02,0.4955677115E-01,0.1714453986,-0.2024780983E-01,0.1237072962E-01,0.000000000,0.2435298773E-02,-0.9883677562E-02,0.6122925973E-02,0.000000000,0.1036175080E-01,0.9916956941E-01,0.1558811310,0.5515252645E-02,0.5658488326E-02,0.2178119132E-02,0.1478956751E-01,0.4955677115E-01,0.1818071494,27.43289600,193.2095219,137.3146187,137.0521597,500.7095219,294.9723943,294.7107379,597.7095219,334.3518168,335.2821715,1009.709522,538.7260276,547.2837209,0.1319619507E-02,0.8251060631E-03,0.4488701018,0.000000000,55.39685703,1.565500787,56.96235782,1.079096097,0.000000000,26.62813460,0.8047614012,27.43289600,1.151569771
