time,X005,X405,X1105
71.00000000000,0.9999999976,0.9910434765,0.2179030002E-02
71.50000000000,0.9999999979,0.9917726976,0.2492965475E-02
72.00000000000,0.9999999981,0.9924454859,0.2845228519E-02
72.50000000000,0.9999999983,0.9930659051,0.3239531957E-02
73.00000000000,0.9999999985,0.9936377577,0.3679829605E-02
73.50000000000,0.9999999987,0.9941645985,0.4170319132E-02
74.00000000000,0.9999999988,0.9946497474,0.4715443561E-02
74.50000000000,0.9999999990,0.9950963027,0.5319891319E-02
75.00000000000,0.9999999991,0.9955071533,0.5988594724E-02
75.50000000000,0.9999999992,0.9958849905,0.6726726818E-02
76.00000000000,0.9999999993,0.9962323201,0.7539696467E-02
76.50000000000,0.9999999994,0.9965514726,0.8433141644E-02
77.00000000000,0.9999999994,0.9968446147,0.9412920853E-02
77.50000000000,0.9999999995,0.9971137587,0.1048510264E-01
78.00000000000,0.9999999996,0.9973607725,0.1165595316E-01
78.50000000000,0.9999999996,0.9975873888,0.1293192181E-01
79.00000000000,0.9999999996,0.9977952137,0.1431962486E-01
79.50000000000,0.9999999997,0.9979857350,0.1582582726E-01
80.00000000000,0.9999999997,0.9981603303,0.1745742246E-01
80.50000000000,0.9999999998,0.9983202741,0.1922141046E-01
81.00000000000,0.9999999998,0.9984667447,0.2112487410E-01
81.50000000000,0.9999999998,0.9986008312,0.2317495370E-01
82.00000000000,0.9999999998,0.9987235396,0.2537882017E-01
82.50000000000,0.9999999998,0.9988357983,0.2774364666E-01
83.00000000000,0.9999999999,0.9989384641,0.3027657903E-01
83.50000000000,0.9999999999,0.9990323269,0.3298470513E-01
84.00000000000,0.9999999999,0.9991181147,0.3587502322E-01
84.50000000000,0.9999999999,0.9991964983,0.3895440956E-01
85.00000000000,0.9999999999,0.9992680952,0.4222958556E-01
85.50000000000,0.9999999999,0.9993334738,0.4570708448E-01
86.00000000000,0.9999999999,0.9993931568,0.4939321808E-01
86.50000000000,0.9999999999,0.9994476249,0.5329404328E-01
87.00000000000,0.9999999999,0.9994973200,0.5741532923E-01
87.50000000000,1.000000000,0.9995426477,0.6176252477E-01
88.00000000000,1.000000000,0.9995839808,0.6634072678E-01
88.50000000000,1.000000000,0.9996216614,0.7115464939E-01
89.00000000000,1.000000000,0.9996560033,0.7620859442E-01
89.50000000000,1.000000000,0.9996872942,0.8150642318E-01
90.00000000000,1.000000000,0.9997157982,0.8705152992E-01
90.50000000000,1.000000000,0.9997417570,0.9284681694E-01
91.00000000000,1.000000000,0.9997653921,0.9889467172E-01
91.50000000000,1.000000000,0.9997869065,0.1051969462
92.00000000000,1.000000000,0.9998064857,0.1117549382
92.50000000000,1.000000000,0.9998242999,0.1185693752
93.00000000000,1.000000000,0.9998405044,0.1256404011
